date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-04-03,24.9,21.1,28.3,0,,110,16.2,,1020.6,674
2015-04-04,25.2,21.1,29.4,0,,,10.1,,1018.8,617
2015-04-05,25.1,20.6,29.4,0,,,12.2,,1018.5,679
2015-04-06,25.6,22.2,29.4,2.5,,92,16.6,,1019.9,619
2015-04-07,25.7,23.9,30,0,,97,19.1,,1020.4,558
2015-04-08,25.6,23.9,29.4,1,,89,18.4,,1019.6,495
2015-04-09,25.7,23.3,29.4,0,,100,19.8,,1019.5,617
2015-04-10,26.6,24.4,30,0,,110,18.4,,1019.2,546
2015-04-11,26.8,24.4,30,0,,120,15.5,,1018.5,553
2015-04-12,26.5,24.4,30,2,,119,16.9,,1018.7,488
2015-04-13,26.9,24.4,30,0,,120,17.6,,1020.1,542
2015-04-14,27.1,24.4,30,0,,111,17.6,,1020,641
2015-04-15,27.1,23.9,30,3.3,,128,16.2,,1018.4,544
2015-04-16,27.3,24.4,30.6,0,,,13.7,,1018.3,632
2015-04-17,27.4,24.4,31.7,0,,,12.2,,1017,456
2015-04-18,27.7,24.4,32.2,0,,,11.2,,1015.2,565
2015-04-19,27.8,24.4,32.2,0,,,13,,1014.2,208
2015-04-20,28.2,25.6,33.3,0,,,13.3,,1013.2,478
2015-04-21,26.1,23.9,27.2,8.1,,,5.8,,,132
2015-04-22,26.3,23.9,28.9,1.3,,,8.6,,1015.4,405
2015-04-23,26.6,23.9,30.6,13,,,8.6,,1014.5,485
2015-04-24,26.8,23.9,33.3,3,,,10.8,,1014.3,514
2015-04-25,27.6,25,32.2,13,,141,12.6,,1013,495
2015-04-26,29.4,24.4,35.6,0,,241,16.2,,1010,660
2015-04-27,28.8,25.6,34.4,0,,,11.9,,1009.6,516
2015-04-28,27.6,23.9,31.7,1.3,,,11.5,,1008.9,383
2015-04-29,23.9,21.1,26.1,53.8,,180,14,,1007.1,23
2015-04-30,24.8,22.2,27.2,0,,,12.6,,,193
2015-05-01,24.2,20,28.9,0,,,11.9,,1012.4,459
2015-05-02,24.5,20.6,27.8,0,,,15.8,,1015.3,514
2015-05-03,24.7,22.2,27.8,0,,70,20.5,,1018.7,510
2015-05-04,24.4,21.7,26.7,0,,59,19.4,,1020.1,483
2015-05-05,23.8,21.1,26.7,9.7,,,10.4,,1018.3,170
2015-05-06,24.2,20.6,30,0,,,10.4,,1016.6,357
2015-05-07,25.4,21.1,30,6.9,,,9,,1016.7,481
2015-05-08,26.1,22.8,31.7,0,,,9.4,,1016.7,373
2015-05-09,26.4,21.7,31.1,0,,,10.1,,1017.8,400
2015-05-10,27.7,24.4,31.1,0,,,15.5,,1019.1,542
2015-05-11,28.2,25.6,31.1,0,,100,19.8,,,447
2015-05-12,27.6,23.9,30.6,2,,,20.9,,,422
2015-05-13,27.6,23.9,31.1,4.6,,,17.6,,1019.4,376
2015-05-14,28,25.6,31.1,0,,89,18.7,,1020,439
2015-05-15,27.7,25,31.7,0,,92,19.8,,1020.1,424
2015-05-16,27.6,23.9,31.1,0,,93,17.6,,1020.2,319
2015-05-17,27.7,25.6,31.1,1.3,,100,19.8,,1021.2,394
2015-05-18,27.4,25,31.1,0,,74,16.6,,1020.5,535
2015-05-19,27.4,23.9,31.7,0,,81,14.8,,1017.7,312
2015-05-20,27.4,23.3,32.8,0,,,8.3,,1015.7,
2015-05-21,27.9,24.4,34.4,0,,,10.1,,1015.4,
2015-05-22,27.8,23.9,32.8,2,,,9.7,,,334
2015-05-23,27.4,23.3,32.2,0,,,15.5,,1021.2,273
2015-05-24,28.2,25,31.7,6.9,,86,21.2,,1020.7,459
